Mod:Item:MetaData, Localized Name
forestry:leaves.decorative.0:3, Листва липы пушистой
forestry:leaves.decorative.0:4, Листва обычного орехового дерева
forestry:leaves.decorative.0:5, Листва каштана посевного
forestry:leaves.decorative.0:6, Листва сакуры
forestry:leaves.decorative.0:7, Листва лимонного дерева
forestry:leaves.decorative.0:8, Листва сливового дерева
forestry:leaves.decorative.0:9, Листва сахарного клёна
forestry:leaves.decorative.0:10, Листва красной ели
forestry:leaves.decorative.0:11, Листва мировой лиственницы
forestry:leaves.decorative.0:12, Листва жёлтой сосны
forestry:leaves.decorative.0:13, Листва береговой секвойи
forestry:leaves.decorative.0:14, Листва гигантской секвойи
forestry:leaves.decorative.0:15, Листва тропического дерева
forestry:leaves.decorative.1:0, Листва тикового дерева
forestry:leaves.decorative.1:1, Листва муравьиного дерева
forestry:leaves.decorative.1:2, Листва хлопкового дерева
forestry:leaves.decorative.1:3, Листва мирта
forestry:leaves.decorative.1:4, Листва зебрано
forestry:leaves.decorative.1:5, Листва жёлтого меранти
forestry:leaves.decorative.1:6, Листва акации
forestry:leaves.decorative.1:7, Листва пустынной акации
forestry:leaves.decorative.1:8, Листва падука
forestry:leaves.decorative.1:9, Листва бальзы
forestry:leaves.decorative.1:10, Листва кокоболо
forestry:leaves.decorative.1:11, Листва дерева Венге
forestry:leaves.decorative.1:12, Листва Адансонии Грандидье
forestry:leaves.decorative.1:13, Листва синего гибискуса
forestry:leaves.decorative.1:14, Листва белой ивы
forestry:leaves.decorative.1:15, Листва Сипири
forestry:leaves.decorative.2:0, Листва дынного дерева
forestry:leaves.decorative.2:1, Листва финиковой пальмы
forestry:leaves.decorative.2:2, Листва белого тополя
forestry:tree_chest:0, Сундук лесовода
forestry:butterfly_chest:0, Сундук лепидоптеролога
forestry:cocoon:0, tile.for.cocoon.name
forestry:cocoon.solid:0, tile.for.cocoon.solid.name
forestry:engine_electrical:0, Электродвигатель
forestry:engine_generator:0, Биогенератор
binniecore:glass:0, Empty Бутылка
binniecore:glass:1, Яблочный сок Бутылка
binniecore:glass:1, Абрикосовый сок Бутылка
binniecore:glass:1, Банановый сок Бутылка
binniecore:glass:1, Вишневый сок Бутылка
binniecore:glass:1, Сок эльберри Бутылка
binniecore:glass:1, Лимонный сок Бутылка
binniecore:glass:1, Лаймовый сок Бутылка
binniecore:glass:1, Апельсиновый сок Бутылка
binniecore:glass:1, Персиковый сок Бутылка
binniecore:glass:1, Сливочный сок Бутылка
binniecore:glass:1, Морковный сок Бутылка
binniecore:glass:1, Томатный сок Бутылка
binniecore:glass:1, Клюквенный сок Бутылка
binniecore:glass:1, Грейпфрутовый сок Бутылка
binniecore:glass:1, Оливковое масло Бутылка
binniecore:glass:1, Ананасовый сок Бутылка
binniecore:glass:1, Грушевый сок Бутылка
binniecore:glass:1, Сок белого винограда Бутылка
binniecore:glass:1, Сок красного винограда Бутылка
binniecore:glass:1, Сидр Бутылка
binniecore:glass:1, Абрикосовое вино Бутылка
binniecore:glass:1, Банановое вино Бутылка
binniecore:glass:1, Вишневое вино Бутылка
binniecore:glass:1, Бузина вино Бутылка
binniecore:glass:1, Персиковый сидр Бутылка
binniecore:glass:1, Грушевый сидр Бутылка
binniecore:glass:1, Сливовое вино Бутылка
binniecore:glass:1, Морковное вино Бутылка
binniecore:glass:1, Белое вино Бутылка
binniecore:glass:1, Красное вино Бутылка
binniecore:glass:1, Сверкающее вино Бутылка
binniecore:glass:1, Вино из агавы Бутылка
binniecore:glass:1, Ферментированный картофель Бутылка
binniecore:glass:1, Цитрусовое вино Бутылка
binniecore:glass:1, Клюква вино Бутылка
binniecore:glass:1, Ананасовое вино Бутылка
binniecore:glass:1, Томатное вино Бутылка
binniecore:glass:1, Фруктовое вино Бутылка
binniecore:glass:1, Эль Бутылка
binniecore:glass:1, Легкое пиво Бутылка
binniecore:glass:1, Пшеничное пиво Бутылка
binniecore:glass:1, Ржаное пиво Бутылка
binniecore:glass:1, Кукурузное пиво Бутылка
binniecore:glass:1, Крепкое Бутылка
binniecore:glass:1, Ферментированное зерно Бутылка
binniecore:glass:1, Ферментированная пшеничная мука Бутылка
binniecore:glass:1, Ферментированная ржаная мука Бутылка
binniecore:glass:1, Ферментированная кукурузная мука Бутылка
binniecore:glass:1, Чистый спирт Бутылка
binniecore:glass:1, Водка Бутылка
binniecore:glass:1, Белый Ром Бутылка
binniecore:glass:1, Темный ром Бутылка
binniecore:glass:1, Виски Бутылка
binniecore:glass:1, Бурбон Бутылка
binniecore:glass:1, Хлебная водка Бутылка
binniecore:glass:1, Пшеничный виски Бутылка
binniecore:glass:1, Крепленое вино Бутылка
binniecore:glass:1, Текила Бутылка
binniecore:glass:1, Бренди Бутылка
binniecore:glass:1, Яблочный бренди Бутылка
binniecore:glass:1, Бренди из груши Бутылка
binniecore:glass:1, Абрикосовый коньяк Бутылка
binniecore:glass:1, Сливовый коньяк Бутылка
binniecore:glass:1, Вишневый бренди Бутылка
binniecore:glass:1, Бренди из бузины Бутылка
binniecore:glass:1, Цитрусовый коньяк Бутылка
binniecore:glass:1, Фруктовый бренди Бутылка
binniecore:glass:1, Ром Кашаса Бутылка
binniecore:glass:1, Джин Бутылка
binniecore:glass:1, Яблочный ликер Бутылка
binniecore:glass:1, Грушевый ликер Бутылка
binniecore:glass:1, Вишневый ликер Бутылка
binniecore:glass:1, Ликер солодки Бутылка
binniecore:glass:1, Абрикосовый ликер Бутылка
binniecore:glass:1, Фруктовый ликер Бутылка
binniecore:glass:1, Миндальный ликер Бутылка
binniecore:glass:1, Апельсиновый ликер Бутылка
binniecore:glass:1, Банановый ликер Бутылка
binniecore:glass:1, Шоколадный ликер Бутылка
binniecore:glass:1, Мятный ликер Бутылка
binniecore:glass:1, Ликер из фундука Бутылка
binniecore:glass:1, Ликер из корицы Бутылка
binniecore:glass:1, Ликер из кофе Бутылка
binniecore:glass:1, Ликер из дыни Бутылка
binniecore:glass:1, Анисовый ликер Бутылка
binniecore:glass:1, Персиковый ликер Бутылка
binniecore:glass:1, Лимонный ликер Бутылка
binniecore:glass:1, Травяной ликер Бутылка
binniecore:glass:1, Вишневый ликер Бутылка
binniecore:glass:1, Ликер из черной смородины Бутылка
binniecore:glass:1, Ликер из ежевики Бутылка
binniecore:glass:1, Малиновый ликер Бутылка
binniecore:cylinder:0, Empty Цилиндр
binniecore:cylinder:1, Средство роста Цилиндр
binniecore:cylinder:1, Бактерии Цилиндр
binniecore:cylinder:1, Полимеризационные бактерии Цилиндр
binniecore:cylinder:1, Сырая ДНК Цилиндр
binniecore:cylinder:1, Вектор бактерий Цилиндр
binniecore:storage:0, Отсек
binniecore:storage:1, Медный отсек
binniecore:storage:2, Бронзовый отсек
binniecore:storage:3, Железный отсек
binniecore:storage:4, Золотой отсек
binniecore:storage:5, Алмазный отсек
binniecore:field_kit, item.field_kit.name
binniecore:genesis, item.genesis.name
genetics:punnett_square, item.punnett_square.name
genetics:serum, item.serum.name
genetics:serum_array, item.serum_array.name
genetics:geneticdatabase:0, База генов
genetics:geneticdatabase:1, База данных генов
genetics:analyst, item.analyst.name
genetics:registry, item.registry.name
genetics:master_registry, item.master_registry.name
genetics:misc:0, Reinforced Casing
genetics:misc:1, DNA Dye
genetics:misc:2, Fluorescent Dye
genetics:misc:3, Enzyme
genetics:misc:4, Growth Medium
genetics:misc:5, Blank Sequence
genetics:misc:6, Empty Serum Vial
genetics:misc:7, Empty Serum Array
genetics:misc:8, Integrated Circuit Board
genetics:misc:9, Integrated CPU
genetics:misc:10, Integrated Casing
genetics:sequence, item.sequence.name
genetics:binnie.growth.medium, tile.genetics.fluid.geneticliquid.growthmedium.name
genetics:binnie.bacteria, tile.genetics.fluid.geneticliquid.bacteria.name
genetics:binnie.bacteria.poly, tile.genetics.fluid.geneticliquid.bacteriapoly.name
genetics:binnie.dna.raw, tile.genetics.fluid.geneticliquid.rawdna.name
genetics:binnie.bacteria.vector, tile.genetics.fluid.geneticliquid.bacteriavector.name
genetics:machine:0, Изолятор
genetics:machine:1, Секвенсор
genetics:machine:2, Полимеризатор
genetics:machine:3, Инокулятор
genetics:lab_machine:0, Лабораторный стенд
genetics:lab_machine:1, Анализатор
genetics:lab_machine:2, Инкубатор
genetics:lab_machine:3, Генофонд
genetics:lab_machine:4, Акклиматизатор
genetics:adv_machine:0, Сплайсер
botany:plant:0, Сорняк
botany:plant:1, Длинный сорняк
botany:plant:2, Очень длинный сорняк
botany:plant:3, Мертвый цветок
botany:plant:4, Разлагающийся цветок
botany:soil:0, Почва
botany:soil:1, Почва
botany:soil:2, Почва
botany:soil:3, Почва
botany:soil:4, Почва
botany:soil:5, Почва
botany:soil:6, Почва
botany:soil:7, Почва
botany:soil:8, Почва
botany:loam:0, Суглинок
botany:loam:1, Суглинок
botany:loam:2, Суглинок
botany:loam:3, Суглинок
botany:loam:4, Суглинок
botany:loam:5, Суглинок
botany:loam:6, Суглинок
botany:loam:7, Суглинок
botany:loam:8, Суглинок
botany:flowerbed:0, Клумба
botany:flowerbed:1, Клумба
botany:flowerbed:2, Клумба
botany:flowerbed:3, Клумба
botany:flowerbed:4, Клумба
botany:flowerbed:5, Клумба
botany:flowerbed:6, Клумба
botany:flowerbed:7, Клумба
botany:flowerbed:8, Клумба
botany:soil_no_weed:0, Почва
botany:soil_no_weed:1, Почва
botany:soil_no_weed:2, Почва
botany:soil_no_weed:3, Почва
botany:soil_no_weed:4, Почва
botany:soil_no_weed:5, Почва
botany:soil_no_weed:6, Почва
botany:soil_no_weed:7, Почва
botany:soil_no_weed:8, Почва
botany:loam_no_weed:0, Суглинок
botany:loam_no_weed:1, Суглинок
botany:loam_no_weed:2, Суглинок
botany:loam_no_weed:3, Суглинок
botany:loam_no_weed:4, Суглинок
botany:loam_no_weed:5, Суглинок
botany:loam_no_weed:6, Суглинок
botany:loam_no_weed:7, Суглинок
botany:loam_no_weed:8, Суглинок
botany:flowerbed_no_weed:0, Клумба
botany:flowerbed_no_weed:1, Клумба
botany:flowerbed_no_weed:2, Клумба
botany:flowerbed_no_weed:3, Клумба
botany:flowerbed_no_weed:4, Клумба
botany:flowerbed_no_weed:5, Клумба
botany:flowerbed_no_weed:6, Клумба
botany:flowerbed_no_weed:7, Клумба
botany:flowerbed_no_weed:8, Клумба
botany:soil_meter, Измеритель почвы
botany:trowel_wood, Деревянный шпатель
botany:trowel_stone, Каменный шпатель
botany:trowel_iron, Железный шпатель
botany:trowel_diamond, Алмазный шпатель
botany:trowel_gold, Золотой шпатель
botany:misc:0, Порошок золы
botany:misc:1, Порошок целлюлозы
botany:misc:2, Компост
botany:misc:3, Порошок серы
botany:misc:4, Порошок удобрения
botany:misc:5, Порошок компоста
botany:misc:6, Ступка
botany:misc:7, Антисорняк
botany:ceramic:0, Керамический блок (Аквамарин)
botany:ceramic:1, Керамический блок (Черный)
botany:ceramic:2, Керамический блок (Темно-синий)
botany:ceramic:3, Керамический блок (Красно-коричневый)
botany:ceramic:4, Керамический блок (Тусклый синий)
botany:ceramic:5, Керамический блок (Светло-коричневый)
botany:ceramic:6, Керамический блок (Коралловый)
botany:ceramic:7, Керамический блок (Малиновый)
botany:ceramic:8, Керамический блок (Голубой)
botany:ceramic:9, Керамический блок (Темная бронза)
botany:ceramic:10, Керамический блок (Серый)
botany:ceramic:11, Керамический блок (Темно-зеленый)
botany:ceramic:12, Керамический блок (Темный бежевый)
botany:ceramic:13, Керамический блок (Темный оливковый)
botany:ceramic:14, Керамический блок (Красный апельсин)
botany:ceramic:15, Керамический блок (Темный лосось)
botany:ceramic:16, Керамический блок (Тусклый зеленый)
botany:ceramic:17, Керамический блок (Темный шифер)
botany:ceramic:18, Керамический блок (Темно-Бирюзовый)
botany:ceramic:19, Керамический блок (Бирюзовый)
botany:ceramic:20, Керамический блок (Пурпурный)
botany:ceramic:21, Керамический блок (Темно-розовый)
botany:ceramic:22, Керамический блок (Светло-синий)
botany:ceramic:23, Керамический блок (Темно-серый)
botany:ceramic:24, Керамический блок (Синий)
botany:ceramic:25, Керамический блок (Золотой)
botany:ceramic:26, Керамический блок (Бронзовый)
botany:ceramic:27, Керамический блок (Тусклый серый)
botany:ceramic:28, Керамический блок (Зеленый)
botany:ceramic:29, Керамический блок (Розовый)
botany:ceramic:30, Керамический блок (Красный кирпич)
botany:ceramic:31, Керамический блок (Индиго)
botany:ceramic:32, Керамический блок (Бежевый)
botany:ceramic:33, Керамический блок (Элис синий)
botany:ceramic:34, Керамический блок (Бледно-желтый)
botany:ceramic:35, Керамический блок (Светло-серый)
botany:ceramic:36, Керамический блок (Темный бирюзовый)
botany:ceramic:37, Керамический блок (Бледно-голубой)
botany:ceramic:38, Керамический блок (Лайм)
botany:ceramic:39, Керамический блок (Светло-зеленый)
botany:ceramic:40, Керамический блок (Фуксия)
botany:ceramic:41, Керамический блок (Каштановый)
botany:ceramic:42, Керамический блок (Светло-Мятный)
botany:ceramic:43, Керамический блок (Светло-фиолетовый)
botany:ceramic:44, Керамический блок (Светлый шифер)
botany:ceramic:45, Керамический блок (Мята)
botany:ceramic:46, Керамический блок (Пурпурно-красный)
botany:ceramic:47, Керамический блок (Бледно-Розовый)
botany:ceramic:48, Керамический блок (Военно-морской)
botany:ceramic:49, Керамический блок (Темно-желтый)
botany:ceramic:50, Керамический блок (Оливковый)
botany:ceramic:51, Керамический блок (Оранжевый)
botany:ceramic:52, Керамический блок (Бледно-зеленый)
botany:ceramic:53, Керамический блок (Бледная бирюза)
botany:ceramic:54, Керамический блок (Тусклый розовый)
botany:ceramic:55, Керамический блок (Загар)
botany:ceramic:56, Керамический блок (Бледно-розовый)
botany:ceramic:57, Керамический блок (Светло-лиловый)
botany:ceramic:58, Керамический блок (Темно фиолетовый)
botany:ceramic:59, Керамический блок (Красный)
botany:ceramic:60, Керамический блок (Тусклый красный)
botany:ceramic:61, Керамический блок (Королевский синий)
botany:ceramic:62, Керамический блок (Лосось)
botany:ceramic:63, Керамический блок (Бледно-коричневый)
botany:ceramic:64, Керамический блок (Темный мятный)
botany:ceramic:65, Керамический блок (Коричневый)
botany:ceramic:66, Керамический блок (Голубое небо)
botany:ceramic:67, Керамический блок (Синий шифер)
botany:ceramic:68, Керамический блок (Шифер)
botany:ceramic:69, Керамический блок (Весенний зеленый)
botany:ceramic:70, Керамический блок (Стальной синий)
botany:ceramic:71, Керамический блок (Бледно-Коричневой)
botany:ceramic:72, Керамический блок (Изумрудный)
botany:ceramic:73, Керамический блок (Бледно-фиолетовый)
botany:ceramic:74, Керамический блок (Светло-бирюзовый)
botany:ceramic:75, Керамический блок (Лиловый)
botany:ceramic:76, Керамический блок (Бледно-оранжевый)
botany:ceramic:77, Керамический блок (Белый)
botany:ceramic:78, Керамический блок (Желтый)
botany:ceramic:79, Керамический блок (Желто-зеленый)
botany:stained, tile.null.name
botany:ceramicpattern, tile.null.name
botany:ceramicbrick:0, Аквамарин керамическая плитка
botany:ceramicbrick:0, Черный керамическая плитка
botany:ceramicbrick:0, Темно-синий керамическая плитка
botany:ceramicbrick:0, Красно-коричневый керамическая плитка
botany:ceramicbrick:0, Тусклый синий керамическая плитка
botany:ceramicbrick:0, Светло-коричневый керамическая плитка
botany:ceramicbrick:0, Коралловый керамическая плитка
botany:ceramicbrick:0, Малиновый керамическая плитка
botany:ceramicbrick:0, Голубой керамическая плитка
botany:ceramicbrick:0, Темная бронза керамическая плитка
botany:ceramicbrick:0, Серый керамическая плитка
botany:ceramicbrick:0, Темно-зеленый керамическая плитка
botany:ceramicbrick:0, Темный бежевый керамическая плитка
botany:ceramicbrick:0, Темный оливковый керамическая плитка
botany:ceramicbrick:0, Красный апельсин керамическая плитка
botany:ceramicbrick:0, Темный лосось керамическая плитка
botany:ceramicbrick:0, Тусклый зеленый керамическая плитка
botany:ceramicbrick:0, Темный шифер керамическая плитка
botany:ceramicbrick:0, Темно-Бирюзовый керамическая плитка
botany:ceramicbrick:0, Бирюзовый керамическая плитка
botany:ceramicbrick:0, Пурпурный керамическая плитка
botany:ceramicbrick:0, Темно-розовый керамическая плитка
botany:ceramicbrick:0, Светло-синий керамическая плитка
botany:ceramicbrick:0, Темно-серый керамическая плитка
botany:ceramicbrick:0, Синий керамическая плитка
botany:ceramicbrick:0, Золотой керамическая плитка
botany:ceramicbrick:0, Бронзовый керамическая плитка
botany:ceramicbrick:0, Тусклый серый керамическая плитка
botany:ceramicbrick:0, Зеленый керамическая плитка
botany:ceramicbrick:0, Розовый керамическая плитка
botany:ceramicbrick:0, Красный кирпич керамическая плитка
botany:ceramicbrick:0, Индиго керамическая плитка
botany:ceramicbrick:0, Бежевый керамическая плитка
botany:ceramicbrick:0, Элис синий керамическая плитка
botany:ceramicbrick:0, Бледно-желтый керамическая плитка
botany:ceramicbrick:0, Светло-серый керамическая плитка
botany:ceramicbrick:0, Темный бирюзовый керамическая плитка
botany:ceramicbrick:0, Бледно-голубой керамическая плитка
botany:ceramicbrick:0, Лайм керамическая плитка
botany:ceramicbrick:0, Светло-зеленый керамическая плитка
botany:ceramicbrick:0, Фуксия керамическая плитка
botany:ceramicbrick:0, Каштановый керамическая плитка
botany:ceramicbrick:0, Светло-Мятный керамическая плитка
botany:ceramicbrick:0, Светло-фиолетовый керамическая плитка
botany:ceramicbrick:0, Светлый шифер керамическая плитка
botany:ceramicbrick:0, Мята керамическая плитка
botany:ceramicbrick:0, Пурпурно-красный керамическая плитка
botany:ceramicbrick:0, Бледно-Розовый керамическая плитка
botany:ceramicbrick:0, Военно-морской керамическая плитка
botany:ceramicbrick:0, Темно-желтый керамическая плитка
botany:ceramicbrick:0, Оливковый керамическая плитка
botany:ceramicbrick:0, Оранжевый керамическая плитка
botany:ceramicbrick:0, Бледно-зеленый керамическая плитка
botany:ceramicbrick:0, Бледная бирюза керамическая плитка
botany:ceramicbrick:0, Тусклый розовый керамическая плитка
botany:ceramicbrick:0, Загар керамическая плитка
botany:ceramicbrick:0, Бледно-розовый керамическая плитка
botany:ceramicbrick:0, Светло-лиловый керамическая плитка
botany:ceramicbrick:0, Темно фиолетовый керамическая плитка
botany:ceramicbrick:0, Красный керамическая плитка
botany:ceramicbrick:0, Тусклый красный керамическая плитка
botany:ceramicbrick:0, Королевский синий керамическая плитка
botany:ceramicbrick:0, Лосось керамическая плитка
botany:ceramicbrick:0, Бледно-коричневый керамическая плитка
botany:ceramicbrick:0, Темный мятный керамическая плитка
botany:ceramicbrick:0, Коричневый керамическая плитка
botany:ceramicbrick:0, Голубое небо керамическая плитка
botany:ceramicbrick:0, Синий шифер керамическая плитка
botany:ceramicbrick:0, Шифер керамическая плитка
botany:ceramicbrick:0, Весенний зеленый керамическая плитка
botany:ceramicbrick:0, Стальной синий керамическая плитка
botany:ceramicbrick:0, Бледно-Коричневой керамическая плитка
botany:ceramicbrick:0, Изумрудный керамическая плитка
botany:ceramicbrick:0, Бледно-фиолетовый керамическая плитка
botany:ceramicbrick:0, Светло-бирюзовый керамическая плитка
botany:ceramicbrick:0, Лиловый керамическая плитка
botany:ceramicbrick:0, Бледно-оранжевый керамическая плитка
botany:ceramicbrick:0, Белый керамическая плитка
botany:ceramicbrick:0, Желтый керамическая плитка
botany:ceramicbrick:0, Желто-зеленый керамическая плитка
botany:ceramicbrick:0, Красно-коричневый & Золотой керамические кирпичи
botany:ceramicbrick:0, Красно-коричневый & Золотой полосатые керамические кирпичи
botany:ceramicbrick:0, Красно-коричневый & Золотой крупные керамические кирпичи
botany:ceramicbrick:0, Красно-коричневый & Золотой треснувшая керамическая плитка
botany:ceramicbrick:0, Красно-коричневый & Золотой клетчатая керамическая плитка
botany:ceramicbrick:0, Красно-коричневый & Золотой смешанная керамическая плитка
botany:ceramicbrick:0, Красно-коричневый & Золотой вертикальные керамические кирпичи
botany:ceramicbrick:0, Красно-коричневый & Золотой вертикальные полосатые керамические кирпичи
botany:ceramicbrick:0, Красно-коричневый & Золотой большие вертикальные керамические кирпичи
botany:ceramicbrick:0, Золотой треснувшая керамическая плитка
botany:ceramicbrick:0, Красно-коричневый клетчатая керамическая плитка
botany:ceramicbrick:0, Золотой & Красно-коричневый крупные керамические кирпичи
botany:pigment:0, Аквамарин пигмент
botany:pigment:1, Черный пигмент
botany:pigment:2, Темно-синий пигмент
botany:pigment:3, Красно-коричневый пигмент
botany:pigment:4, Тусклый синий пигмент
botany:pigment:5, Светло-коричневый пигмент
botany:pigment:6, Коралловый пигмент
botany:pigment:7, Малиновый пигмент
botany:pigment:8, Голубой пигмент
botany:pigment:9, Темная бронза пигмент
botany:pigment:10, Серый пигмент
botany:pigment:11, Темно-зеленый пигмент
botany:pigment:12, Темный бежевый пигмент
botany:pigment:13, Темный оливковый пигмент
botany:pigment:14, Красный апельсин пигмент
botany:pigment:15, Темный лосось пигмент
botany:pigment:16, Тусклый зеленый пигмент
botany:pigment:17, Темный шифер пигмент
botany:pigment:18, Темно-Бирюзовый пигмент
botany:pigment:19, Бирюзовый пигмент
botany:pigment:20, Пурпурный пигмент
botany:pigment:21, Темно-розовый пигмент
botany:pigment:22, Светло-синий пигмент
botany:pigment:23, Темно-серый пигмент
botany:pigment:24, Синий пигмент
botany:pigment:25, Золотой пигмент
botany:pigment:26, Бронзовый пигмент
botany:pigment:27, Тусклый серый пигмент
botany:pigment:28, Зеленый пигмент
botany:pigment:29, Розовый пигмент
botany:pigment:30, Красный кирпич пигмент
botany:pigment:31, Индиго пигмент
botany:pigment:32, Бежевый пигмент
botany:pigment:33, Элис синий пигмент
botany:pigment:34, Бледно-желтый пигмент
botany:pigment:35, Светло-серый пигмент
botany:pigment:36, Темный бирюзовый пигмент
botany:pigment:37, Бледно-голубой пигмент
botany:pigment:38, Лайм пигмент
botany:pigment:39, Светло-зеленый пигмент
botany:pigment:40, Фуксия пигмент
botany:pigment:41, Каштановый пигмент
botany:pigment:42, Светло-Мятный пигмент
botany:pigment:43, Светло-фиолетовый пигмент
botany:pigment:44, Светлый шифер пигмент
botany:pigment:45, Мята пигмент
botany:pigment:46, Пурпурно-красный пигмент
botany:pigment:47, Бледно-Розовый пигмент
botany:pigment:48, Военно-морской пигмент
botany:pigment:49, Темно-желтый пигмент
botany:pigment:50, Оливковый пигмент
botany:pigment:51, Оранжевый пигмент
botany:pigment:52, Бледно-зеленый пигмент
botany:pigment:53, Бледная бирюза пигмент
botany:pigment:54, Тусклый розовый пигмент
botany:pigment:55, Загар пигмент
botany:pigment:56, Бледно-розовый пигмент
botany:pigment:57, Светло-лиловый пигмент
botany:pigment:58, Темно фиолетовый пигмент
botany:pigment:59, Красный пигмент
botany:pigment:60, Тусклый красный пигмент
botany:pigment:61, Королевский синий пигмент
botany:pigment:62, Лосось пигмент
botany:pigment:63, Бледно-коричневый пигмент
botany:pigment:64, Темный мятный пигмент
botany:pigment:65, Коричневый пигмент
botany:pigment:66, Голубое небо пигмент
botany:pigment:67, Синий шифер пигмент
botany:pigment:68, Шифер пигмент
botany:pigment:69, Весенний зеленый пигмент
botany:pigment:70, Стальной синий пигмент
botany:pigment:71, Бледно-Коричневой пигмент
botany:pigment:72, Изумрудный пигмент
botany:pigment:73, Бледно-фиолетовый пигмент
botany:pigment:74, Светло-бирюзовый пигмент
botany:pigment:75, Лиловый пигмент
botany:pigment:76, Бледно-оранжевый пигмент
botany:pigment:77, Белый пигмент
botany:pigment:78, Желтый пигмент
botany:pigment:79, Желто-зеленый пигмент
botany:clay:0, Аквамарин глина
botany:clay:1, Черный глина
botany:clay:2, Темно-синий глина
botany:clay:3, Красно-коричневый глина
botany:clay:4, Тусклый синий глина
botany:clay:5, Светло-коричневый глина
botany:clay:6, Коралловый глина
botany:clay:7, Малиновый глина
botany:clay:8, Голубой глина
botany:clay:9, Темная бронза глина
botany:clay:10, Серый глина
botany:clay:11, Темно-зеленый глина
botany:clay:12, Темный бежевый глина
botany:clay:13, Темный оливковый глина
botany:clay:14, Красный апельсин глина
botany:clay:15, Темный лосось глина
botany:clay:16, Тусклый зеленый глина
botany:clay:17, Темный шифер глина
botany:clay:18, Темно-Бирюзовый глина
botany:clay:19, Бирюзовый глина
botany:clay:20, Пурпурный глина
botany:clay:21, Темно-розовый глина
botany:clay:22, Светло-синий глина
botany:clay:23, Темно-серый глина
botany:clay:24, Синий глина
botany:clay:25, Золотой глина
botany:clay:26, Бронзовый глина
botany:clay:27, Тусклый серый глина
botany:clay:28, Зеленый глина
botany:clay:29, Розовый глина
botany:clay:30, Красный кирпич глина
botany:clay:31, Индиго глина
botany:clay:32, Бежевый глина
botany:clay:33, Элис синий глина
botany:clay:34, Бледно-желтый глина
botany:clay:35, Светло-серый глина
botany:clay:36, Темный бирюзовый глина
botany:clay:37, Бледно-голубой глина
botany:clay:38, Лайм глина
botany:clay:39, Светло-зеленый глина
botany:clay:40, Фуксия глина
botany:clay:41, Каштановый глина
botany:clay:42, Светло-Мятный глина
botany:clay:43, Светло-фиолетовый глина
botany:clay:44, Светлый шифер глина
botany:clay:45, Мята глина
botany:clay:46, Пурпурно-красный глина
botany:clay:47, Бледно-Розовый глина
botany:clay:48, Военно-морской глина
botany:clay:49, Темно-желтый глина
botany:clay:50, Оливковый глина
botany:clay:51, Оранжевый глина
botany:clay:52, Бледно-зеленый глина
botany:clay:53, Бледная бирюза глина
botany:clay:54, Тусклый розовый глина
botany:clay:55, Загар глина
botany:clay:56, Бледно-розовый глина
botany:clay:57, Светло-лиловый глина
botany:clay:58, Темно фиолетовый глина
botany:clay:59, Красный глина
botany:clay:60, Тусклый красный глина
botany:clay:61, Королевский синий глина
botany:clay:62, Лосось глина
botany:clay:63, Бледно-коричневый глина
botany:clay:64, Темный мятный глина
botany:clay:65, Коричневый глина
botany:clay:66, Голубое небо глина
botany:clay:67, Синий шифер глина
botany:clay:68, Шифер глина
botany:clay:69, Весенний зеленый глина
botany:clay:70, Стальной синий глина
botany:clay:71, Бледно-Коричневой глина
botany:clay:72, Изумрудный глина
botany:clay:73, Бледно-фиолетовый глина
botany:clay:74, Светло-бирюзовый глина
botany:clay:75, Лиловый глина
botany:clay:76, Бледно-оранжевый глина
botany:clay:77, Белый глина
botany:clay:78, Желтый глина
botany:clay:79, Желто-зеленый глина
botany:misc_ceramic:0, Ступка
botany:botanist_bag, Рюкзак ботаника
botany:database:0, База данных ботаники
botany:database:1, База магистерской ботаники
botany:machine:0, Работа с плитками
botany:insulated_tube:0, Медь Глина изолированная электронная трубка
botany:insulated_tube:128, Медь Булыжник изолированная электронная трубка
botany:insulated_tube:256, Медь Песчаник изолированная электронная трубка
botany:insulated_tube:384, Медь Затвердевшая глина изолированная электронная трубка
botany:insulated_tube:512, Медь Гладкий камень изолированная электронная трубка
botany:insulated_tube:640, Медь Песчаник изолированная электронная трубка
botany:insulated_tube:1, Олово Глина изолированная электронная трубка
botany:insulated_tube:129, Олово Булыжник изолированная электронная трубка
botany:insulated_tube:257, Олово Песчаник изолированная электронная трубка
botany:insulated_tube:385, Олово Затвердевшая глина изолированная электронная трубка
botany:insulated_tube:513, Олово Гладкий камень изолированная электронная трубка
botany:insulated_tube:641, Олово Песчаник изолированная электронная трубка
botany:insulated_tube:2, Бронза Глина изолированная электронная трубка
botany:insulated_tube:130, Бронза Булыжник изолированная электронная трубка
botany:insulated_tube:258, Бронза Песчаник изолированная электронная трубка
botany:insulated_tube:386, Бронза Затвердевшая глина изолированная электронная трубка
botany:insulated_tube:514, Бронза Гладкий камень изолированная электронная трубка
botany:insulated_tube:642, Бронза Песчаник изолированная электронная трубка
botany:insulated_tube:3, Железо Глина изолированная электронная трубка
botany:insulated_tube:131, Железо Булыжник изолированная электронная трубка
botany:insulated_tube:259, Железо Песчаник изолированная электронная трубка
botany:insulated_tube:387, Железо Затвердевшая глина изолированная электронная трубка
botany:insulated_tube:515, Железо Гладкий камень изолированная электронная трубка
